Sample,ABCA13,ABTB2,ADAM23,ADAMTS1,ADCY9,ADRA2C,APOC1,ARHGAP42,ARTN,ASS1,BAMBI,BMP2,CADM1,CAV2,CD70,CNRIP1,COBL,COL17A1,COL18A1,COL4A5,COL6A1,CPNE7,CRIP2,DLC1,DLX1,DPP4,DSEL,DSG2,EEF1A2,EFNA5,ENO2,F3,FAM171A1,FAT1,FEZ1,GAD1,GATA3,GNG11,GPC4,GPNMB,HES4,HEY1,IFI27,IGFBP4,IRX3,IRX5,JPH1,LAMA5,LGALSL,LIF,LSR,MCAM,MCOLN3,MECOM,MET,MPDZ,MT1E,NAV3,NEO1,NFIB,NKD2,NNMT,NT5E,PBX1,PCLO,PCOLCE2,PDE5A,PITX1,PKDCC,PRKD1,PROS1,PTGES,RAP1GAP,RBP7,RBPMS2,RGS16,RND3,ROBO1,RORA,S1PR5,SCG2,SDC2,SELENBP1,SERPINH1,SETBP1,SLC6A8,SLC7A2,SLFN5,SRPX,STXBP6,SYCP2,TGM2,TIMP3,TM4SF1,TMEM158,YAP1,ZNF703
ACH-000452,,3.375734539,3.401903472,1.163498732,3.140778656,3.424922088,5.961160258,1.952333566,1.851998837,7.461479447,4.267535798,2.608809243,,5.197314999,5.740118043,0.575312331,0.516015147,4.361768359,5.737686761,,,4.502075956,6.558267634,,2.353323291,2.40599236,1.89917563,4.590362488,9.660976378,1.803227036,,6.018589668,5.065658471,7.687830555,,2.599317794,2.313245852,0.731183242,,6.371036052,4.231893162,1.084064265,6.805679393,7.467931546,3.019701914,1.875780063,1.906890596,7.476300671,,5.839203788,5.599615349,5.339493738,4.097610797,3.087462841,4.680324357,4.516645558,5.329482431,2.375734539,5.92552477,2.073820233,1.691534165,7.687060688,4.011674533,3.480265122,0.070389328,4.566815154,2.922197848,4.493134922,3.152183419,2.961623328,4.381975479,,2.435628594,3.206330648,2.61117238,1.063502942,5.258141996,3.560714954,2.313245852,3.119356177,1.137503524,,0.454175893,7.853122383,1.150559677,6.196921734,1.438292852,2.503348735,2.678071905,2.073820233,3.663344619,7.512068826,,3.174725988,2.301587647,5.338780944,3.294253136
ACH-000860,,2.077242999,0.189033824,1.269033146,2.217230716,0.757023247,3.943921327,2.13422094,4.045268215,3.502075956,0.111031312,3.028569152,,7.271369647,0.22650853,0.084064265,2.028569152,2.060047384,5.394376945,0.042644337,3.35614381,3.84899843,9.372081484,0.137503524,0.263034406,1.469885976,0.90303827,5.911691582,9.467218334,3.150559677,4.132576843,6.061344188,0.070389328,6.086189313,2.780310099,3.595742339,0.028569152,0.056583528,3.03562391,1.389566812,3.7473874,3.862947248,6.425929205,4.274261661,4.268284667,2.097610797,2.853995647,8.470170776,2.659924558,4.682011391,7.265943161,,2.147306699,3.85698569,6.282254452,2.384049807,8.732642309,0.565597176,,3.294253136,6.136683578,0.275007047,7.036613224,1.316145742,2.324810603,2.560714954,3.344828497,5.190219764,0.879705766,2.513490746,2.541019153,5.104755987,3.496973581,0,0.056583528,0.137503524,5.82858081,3.412781525,0.321928095,1.195347598,0.765534746,5.194559886,4.164303583,7.160879862,0,0.956056652,0.014355293,3.974529312,,,4.361066489,5.125981654,0.084064265,8.352793829,1.448900951,,0.189033824
ACH-000259,0.028569152,2.204766751,3.869871406,3.534808661,3.508428653,3.533563348,4.265286858,3.204766751,1.09085343,6.09085343,3.427606173,0.014355293,4.663344619,0.23878686,0.201633861,5.051807107,1.182692298,0.632268215,3.363171077,0.014355293,5.563463237,0.298658316,5.213736096,5.198101209,0.650764559,0.097610797,0.98550043,3.307428525,10.32744037,2.438292852,7.819029455,1.084064265,4.8928767,4.846493316,0.367371066,0.201633861,7.476543706,1.257010618,0.014355293,1.40053793,0.056583528,4.091699834,2.153805336,6.207502459,0.757023247,1.63691458,2.608809243,5.540089282,3.517275693,0.910732662,0.855989697,3.160274831,0,4.087462841,2.695993813,4.510961919,0.40053793,,1.516015147,2.918386234,1.244887059,0.22650853,1.604071324,3.866907978,3.065227623,,1.056583528,,5.56193706,0.263034406,3.444932049,1.310340121,,0,1.859969548,6.297741678,3.817623258,4.529196268,1.448900951,0,5.901590992,6.614415387,0.565597176,,2.025028794,5.50747753,3.782408565,0.056583528,0.070389328,0.411426246,1.070389328,0.565597176,1.531069493,0.545968369,0.097610797,0.669026766,0.432959407
ACH-000720,0.042644337,,0.150559677,0.263034406,4.252476214,0.176322773,6.286326727,3.826802684,0.604071324,,3.7322692,0.941106311,1.589763487,7.145677455,0.731183242,4.034743949,0.084064265,0.807354922,5.858727024,0.097610797,6.810700154,4.393004257,,5.552745937,2.411426246,5.253232939,3.125981654,2.333423734,6.981852653,0.739848103,6.286696365,7.657711452,4.651338766,1.014355293,2.22342255,2.625270489,4.806839582,4.289096702,0.111031312,5.97819563,4.63691458,,6.69432306,7.984760222,3.977279923,1.782408565,0.070389328,7.582556003,1.59454855,5.71918344,,6.517433184,0.124328135,0.650764559,5.383704292,3.874796966,6.876639724,2.653060017,2.324810603,1.028569152,0.150559677,7.773996325,4.603477988,4.485426827,0.871843649,0.189033824,2.867896464,6.379031732,0.150559677,2.881664619,2.010779839,3.507160349,0.495695163,0.807354922,4.097610797,3.184280294,,1.10433666,0.622930351,1.722466024,5.844988157,5.630230716,4.756489607,9.110770385,0.807354922,4.667892125,0.070389328,,3.117695043,0.014355293,5.778208576,5.007195501,7.550131104,5.968090752,5.085339669,6.06608919,3.980939266
ACH-000558,0.695993813,1.575312331,,3.385431037,3.854993017,2.347665656,0.411426246,2.618238656,0.545968369,0.464668267,4.807354922,0.028569152,3.595742339,6.290203205,5.322649262,4.184280294,0.584962501,2.053111336,,2.350497247,7.965899696,2.087462841,8.07820419,4.575312331,3.967168608,0.286881148,0.910732662,5.544732656,5.98208091,1.778208576,5.937108946,4.567423758,5.155020578,,0.98550043,3.75595577,0.286881148,4.071247819,2.510961919,5.150559677,,0.704871964,3.289834465,,,1.007195501,1.195347598,6.733218743,2.761285273,,1.257010618,2.803227036,2.66448284,1.565597176,4.675251386,4.302319051,0.575312331,4.354028938,2.608809243,1.516015147,0.014355293,7.233140296,7.889230152,3.357552005,5.172327492,4.725195817,2.560714954,5.080657663,2.46727948,3.173127433,5.774259951,2.289834465,0.389566812,0,4.010779839,5.56924803,6.159467729,4.043519494,0.286881148,2.632268215,5.097189387,6.681589817,0.250961574,8.551669815,0.124328135,5.104755987,0.286881148,3.757023247,5.958378712,1.22650853,,,3.62058641,7.682573297,4.565597176,4.914086097,4.380590934
ACH-000335,0.014355293,,4.214124805,3.346247774,3,,0.367371066,1.545968369,,1.40599236,1.929790998,1.063502942,4.133399125,5.702103407,3.968090752,5.921483937,0.545968369,,5.532940288,5.280956314,7.521678952,4.909773104,3.852997588,6.742275748,4.152994605,1.427606173,1.843983844,,,2.339137385,4.665051614,3.807354922,5.075532631,5.810186008,0.604071324,,2.817623258,,0.042644337,1.137503524,2.944858446,1.361768359,0.454175893,5.339850003,2.257010618,1.350497247,2.657640005,5.607626221,2.759155834,6.042644337,0.765534746,5.679198571,1.117695043,4.422905743,7.034743949,3.982765463,0.333423734,6.264911693,,3.214124805,1.14404637,5.075104722,5.260402093,3.493134922,0.713695815,1.084064265,2.480265122,3.415488271,3.195347598,,3.221877081,2.017921908,0.464668267,1.752748591,2.963474124,1.803227036,6.837060204,,0.855989697,0.070389328,0.632268215,,0.097610797,7.240028052,0.056583528,6.562395082,2.992768431,4.462052319,,1.298658316,0.163498732,7.527633387,4.020591095,7.095502518,,5.388189537,3.073820233
ACH-000940,0.014355293,2.250961574,0.056583528,0.214124805,3.255500733,0.411426246,3.92314918,1.427606173,0.963474124,4.290571851,0.887525271,0.028569152,0.333423734,0.584962501,6.662632775,0.084064265,2.397802962,0.298658316,4.847996907,5.076388069,6.59484709,0.310340121,6.989025441,0.22650853,7.20867332,0.124328135,,0.555816155,7.617504198,0.124328135,0.895302621,0.632268215,3.232660757,1.137503524,0.839959587,3.367371066,0.163498732,4.861955364,2.063502942,3.155425432,0.632268215,3.548436625,1.839959587,0.815575429,3.765534746,2.010779839,,5.547819957,5.279471296,4.219555769,1.03562391,0.411426246,0.137503524,0.150559677,0.464668267,4.498889087,0.941106311,0.150559677,3.944858446,5.791814071,3.624100895,7.394033895,0.475084883,3.638073837,0.475084883,0.201633861,1.063502942,6.150965784,9.35840945,3.150559677,4.397118409,,1.967168608,0.176322773,5.552745937,0.084064265,5.918147674,5.718909554,,0.432959407,3.060047384,1.09085343,4.040015679,9.164529867,0.028569152,6.887647115,3.261530815,1.214124805,0.310340121,0.333423734,0.722466024,2.403267722,2.422233001,1.411426246,0.613531653,5.496654083,2.786596362
ACH-000207,0.669026766,3.507160349,0.659924558,4.166715445,2.010779839,0.176322773,0.731183242,2.737686761,3.646162657,6.938991439,2.746312766,1.967168608,1.807354922,9.422947779,0.378511623,0.070389328,0.956056652,,3.334854269,4.890933022,0.475084883,2.523561956,5.892633883,1.713695815,2.422233001,0.214124805,,5.858727024,1.560714954,2.657640005,,8.659032585,3.618238656,7.404119724,3.275007047,2.336283388,2.364572432,2.691534165,4.022367813,1.855989697,2.650764559,0.799087306,2.324810603,6.978081198,2.17951105,0.790772038,2.560714954,7.568260169,2.957914599,3.503348735,6.496813841,3.420886575,,4.128458384,7.957682486,2.702657543,5.569855608,2.769771739,2.580145484,3.051372102,0.807354922,0.659924558,5.00495076,,0.910732662,3.665620164,2.361768359,4.331275267,0.895302621,0.871843649,1.555816155,5.189429246,0.773996325,1.608809243,1.014355293,0.632268215,6.13442632,2.629939409,0.367371066,2.253989266,0.378511623,0.40053793,2.100977648,8.593764588,0.97819563,4.550900665,0.871843649,3.669026766,0.941106311,1.871843649,0.695993813,7.318859106,3.181102551,4.411426246,1.09085343,8.279517726,2.639232163
ACH-000764,0.042644337,,0.056583528,0.111031312,3.326249701,4.23572706,5.512226887,,0.765534746,2.475084883,2.784503983,,0.111031312,6.642123916,0.056583528,1.232660757,,1.014355293,6.244125943,2.361768359,8.098663782,1.207892852,5.370164281,3.564378169,1.555816155,0.137503524,0,0.622930351,8.10706011,2.859969548,5.458119481,6.58345891,4.902556005,,0.23878686,1.361768359,1.555816155,5.459431619,0.028569152,3.452858965,3.697106574,,0.575312331,8.694497187,3.718087584,0.831877241,,7.184875343,,5.106432078,2.700439718,3.833902077,0.028569152,2.786596362,,0.056583528,0.443606651,0.773996325,1.565597176,2.22342255,1.641546029,7.272023189,7.774721182,1.454175893,0.042644337,0.111031312,1.021479727,,5.189429246,1.790772038,1.111031312,,1.40053793,,,0.042644337,5.66106548,0.097610797,2.625270489,0.042644337,3.552131108,3.587364991,2.555816155,9.670833256,0,4.753818443,0.516015147,2.531069493,3.694880193,1.475084883,3.517275693,9.509042586,6.796753477,,6.358079723,5.379898164,5.472487771
ACH-000846,0.137503524,1.541019153,0.163498732,0.584962501,2.500802053,1.333423734,2.384049807,0.992768431,,4.580748492,1.464668267,0.963474124,0.084064265,7.559721231,,1.86393845,1.454175893,5.771093252,3.475084883,3.396433531,2.440952198,3.344828497,2.925999419,0.250961574,0.333423734,,0,,6.694183743,2.266036894,3.650764559,7.30058136,2.269033146,4.536674618,3.171527106,4.359661722,1.996388746,1.3950628,1.316145742,5.561326136,3.464668267,,9.548860431,4.778734244,3.710393192,0.659924558,2.875780063,8.147459346,2.548436625,2.875780063,5.785550552,0.970853654,2.733354341,,5.08491466,4.61117238,8.039960864,0.650764559,,3.790772038,0.50589093,0.176322773,1.427606173,,,2.310340121,1.469885976,4.766065051,1.765534746,1.929790998,,5.179112901,2.475084883,0.378511623,0.22650853,0.807354922,4.303050085,2.066950244,,3.600507645,0.150559677,3.438292852,2.381283373,7.61970645,1.077242999,3.43162296,0.275007047,2.689299161,0.731183242,0.454175893,0.454175893,,1.344828497,7.394634179,,5.929080835,0.310340121
